1.83659e-03 7.15683e-04
4.27348e-03 3.77012e-03
6.70981e-03 9.26216e-03
9.13990e-03 1.71877e-02
1.15611e-02 2.75390e-02
1.39711e-02 4.03061e-02
1.63674e-02 5.54766e-02
1.87477e-02 7.30356e-02
2.11097e-02 9.29659e-02
2.34510e-02 1.15248e-01
2.57695e-02 1.39860e-01
2.80628e-02 1.66779e-01
3.03286e-02 1.95977e-01
3.25649e-02 2.27426e-01
3.47693e-02 2.61096e-01
3.69397e-02 2.96953e-01
3.90741e-02 3.34963e-01
4.11702e-02 3.75089e-01
4.32262e-02 4.17290e-01
4.52399e-02 4.61527e-01
4.72093e-02 5.07755e-01
4.91327e-02 5.55930e-01
5.10081e-02 6.06005e-01
5.28336e-02 6.57930e-01
5.46075e-02 7.11655e-01
5.63281e-02 7.67127e-01
5.79936e-02 8.24292e-01
5.96024e-02 8.83095e-01
6.11530e-02 9.43478e-01
6.26439e-02 1.00538e+00
6.40735e-02 1.06875e+00
6.54405e-02 1.13351e+00
6.67436e-02 1.19960e+00
6.79815e-02 1.26697e+00
6.91530e-02 1.33555e+00
7.02569e-02 1.40526e+00
7.12921e-02 1.47604e+00
7.22577e-02 1.54782e+00
7.31527e-02 1.62053e+00
7.39762e-02 1.69410e+00
7.47274e-02 1.76846e+00
7.54057e-02 1.84353e+00
7.60102e-02 1.91924e+00
7.65405e-02 1.99553e+00
7.69959e-02 2.07230e+00
7.73762e-02 2.14949e+00
7.76808e-02 2.22703e+00
7.79096e-02 2.30483e+00
7.80622e-02 2.38282e+00
7.81386e-02 2.46093e+00
7.81386e-02 2.53907e+00
7.80622e-02 2.61718e+00
7.79096e-02 2.69517e+00
7.76808e-02 2.77297e+00
7.73762e-02 2.85051e+00
7.69959e-02 2.92770e+00
7.65405e-02 3.00447e+00
7.60102e-02 3.08076e+00
7.54057e-02 3.15647e+00
7.47274e-02 3.23154e+00
7.39762e-02 3.30590e+00
7.31527e-02 3.37947e+00
7.22577e-02 3.45218e+00
7.12921e-02 3.52396e+00
7.02569e-02 3.59474e+00
6.91530e-02 3.66445e+00
6.79815e-02 3.73303e+00
6.67436e-02 3.80040e+00
6.54405e-02 3.86649e+00
6.40735e-02 3.93125e+00
6.26439e-02 3.99462e+00
6.11530e-02 4.05652e+00
5.96024e-02 4.11690e+00
5.79936e-02 4.17571e+00
5.63281e-02 4.23287e+00
5.46075e-02 4.28835e+00
5.28336e-02 4.34207e+00
5.10081e-02 4.39400e+00
4.91327e-02 4.44407e+00
4.72093e-02 4.49224e+00
4.52399e-02 4.53847e+00
4.32262e-02 4.58271e+00
4.11702e-02 4.62491e+00
3.90741e-02 4.66504e+00
3.69397e-02 4.70305e+00
3.47693e-02 4.73890e+00
3.25649e-02 4.77257e+00
3.03286e-02 4.80402e+00
2.80628e-02 4.83322e+00
2.57695e-02 4.86014e+00
2.34510e-02 4.88475e+00
2.11097e-02 4.90703e+00
1.87477e-02 4.92696e+00
1.63674e-02 4.94452e+00
1.39711e-02 4.95969e+00
1.15611e-02 4.97246e+00
9.13990e-03 4.98281e+00
6.70981e-03 4.99074e+00
4.27348e-03 4.99623e+00
1.83659e-03 4.99928e+00
7.15683e-04 7.15683e-04 -1.17386e-06
7.15683e-04 3.77012e-03 -6.18347e-06
7.15683e-04 9.26216e-03 -1.51879e-05
7.15683e-04 1.71877e-02 -2.81669e-05
7.15683e-04 2.75390e-02 -4.50698e-05
7.15683e-04 4.03061e-02 -6.57986e-05
7.15683e-04 5.54766e-02 -9.01835e-05
7.15683e-04 7.30356e-02 -1.17956e-04
7.15683e-04 9.29659e-02 -1.48723e-04
7.15683e-04 1.15248e-01 -1.81943e-04
7.15683e-04 1.39860e-01 -2.16908e-04
7.15683e-04 1.66779e-01 -2.52750e-04
7.15683e-04 1.95977e-01 -2.88451e-04
7.15683e-04 2.27426e-01 -3.22890e-04
7.15683e-04 2.61096e-01 -3.54897e-04
7.15683e-04 2.96953e-01 -3.83336e-04
7.15683e-04 3.34963e-01 -4.07186e-04
7.15683e-04 3.75089e-01 -4.25621e-04
7.15683e-04 4.17290e-01 -4.38068e-04
7.15683e-04 4.61527e-01 -4.44246e-04
7.15683e-04 5.07755e-01 -4.44163e-04
7.15683e-04 5.55930e-01 -4.38092e-04
7.15683e-04 6.06005e-01 -4.26521e-04
7.15683e-04 6.57930e-01 -4.10093e-04
7.15683e-04 7.11655e-01 -3.89541e-04
7.15683e-04 7.67127e-01 -3.65633e-04
7.15683e-04 8.24292e-01 -3.39128e-04
7.15683e-04 8.83095e-01 -3.10743e-04
7.15683e-04 9.43478e-01 -2.81129e-04
7.15683e-04 1.00538e+00 -2.50870e-04
7.15683e-04 1.06875e+00 -2.20473e-04
7.15683e-04 1.13351e+00 -1.90373e-04
7.15683e-04 1.19960e+00 -1.60940e-04
7.15683e-04 1.26697e+00 -1.32484e-04
7.15683e-04 1.33555e+00 -1.05256e-04
7.15683e-04 1.40526e+00 -7.94572e-05
7.15683e-04 1.47604e+00 -5.52363e-05
7.15683e-04 1.54782e+00 -3.26919e-05
7.15683e-04 1.62053e+00 -1.18704e-05
7.15683e-04 1.69410e+00 7.23484e-06
7.15683e-04 1.76846e+00 2.46840e-05
7.15683e-04 1.84353e+00 4.05875e-05
7.15683e-04 1.91924e+00 5.50979e-05
7.15683e-04 1.99553e+00 6.83930e-05
7.15683e-04 2.07230e+00 8.06485e-05
7.15683e-04 2.14949e+00 9.19992e-05
7.15683e-04 2.22703e+00 1.02490e-04
7.15683e-04 2.30483e+00 1.12025e-04
7.15683e-04 2.38282e+00 1.20323e-04
7.15683e-04 2.46093e+00 1.26913e-04
7.15683e-04 2.53907e+00 1.31170e-04
7.15683e-04 2.61718e+00 1.32435e-04
7.15683e-04 2.69517e+00 1.30180e-04
7.15683e-04 2.77297e+00 1.24210e-04
7.15683e-04 2.85051e+00 1.14806e-04
7.15683e-04 2.92770e+00 1.02737e-04
7.15683e-04 3.00447e+00 8.91188e-05
7.15683e-04 3.08076e+00 7.51503e-05
7.15683e-04 3.15647e+00 6.18460e-05
7.15683e-04 3.23154e+00 4.98751e-05
7.15683e-04 3.30590e+00 3.95470e-05
7.15683e-04 3.37947e+00 3.09007e-05
7.15683e-04 3.45218e+00 2.38202e-05
7.15683e-04 3.52396e+00 1.81233e-05
7.15683e-04 3.59474e+00 1.36114e-05
7.15683e-04 3.66445e+00 1.00920e-05
7.15683e-04 3.73303e+00 7.38827e-06
7.15683e-04 3.80040e+00 5.34244e-06
7.15683e-04 3.86649e+00 3.81757e-06
7.15683e-04 3.93125e+00 2.69757e-06
7.15683e-04 3.99462e+00 1.88647e-06
7.15683e-04 4.05652e+00 1.30686e-06
7.15683e-04 4.11690e+00 8.97793e-07
7.15683e-04 4.17571e+00 6.12344e-07
7.15683e-04 4.23287e+00 4.15184e-07
7.15683e-04 4.28835e+00 2.80222e-07
7.15683e-04 4.34207e+00 1.88542e-07
7.15683e-04 4.39400e+00 1.26654e-07
7.15683e-04 4.44407e+00 8.50785e-08
7.15683e-04 4.49224e+00 5.72437e-08
7.15683e-04 4.53847e+00 3.86434e-08
7.15683e-04 4.58271e+00 2.62187e-08
7.15683e-04 4.62491e+00 1.79099e-08
7.15683e-04 4.66504e+00 1.23392e-08
7.15683e-04 4.70305e+00 8.58920e-09
7.15683e-04 4.73890e+00 6.05134e-09
7.15683e-04 4.77257e+00 4.32242e-09
7.15683e-04 4.80402e+00 3.13551e-09
7.15683e-04 4.83322e+00 2.31366e-09
7.15683e-04 4.86014e+00 1.73932e-09
7.15683e-04 4.88475e+00 1.33411e-09
7.15683e-04 4.90703e+00 1.04554e-09
7.15683e-04 4.92696e+00 8.38272e-10
7.15683e-04 4.94452e+00 6.88401e-10
7.15683e-04 4.95969e+00 5.79656e-10
7.15683e-04 4.97246e+00 5.00929e-10
7.15683e-04 4.98281e+00 4.44636e-10
7.15683e-04 4.99074e+00 4.05639e-10
7.15683e-04 4.99623e+00 3.80539e-10
7.15683e-04 4.99928e+00 3.67223e-10
3.77012e-03 7.15683e-04 -6.18347e-06
3.77012e-03 3.77012e-03 -3.25724e-05
3.77012e-03 9.26216e-03 -8.00049e-05
3.77012e-03 1.71877e-02 -1.48373e-04
3.77012e-03 2.75390e-02 -2.37412e-04
3.77012e-03 4.03061e-02 -3.46605e-04
3.77012e-03 5.54766e-02 -4.75056e-04
3.77012e-03 7.30356e-02 -6.21354e-04
3.77012e-03 9.29659e-02 -7.83425e-04
3.77012e-03 1.15248e-01 -9.58413e-04
3.77012e-03 1.39860e-01 -1.14260e-03
3.77012e-03 1.66779e-01 -1.33140e-03
3.77012e-03 1.95977e-01 -1.51947e-03
3.77012e-03 2.27426e-01 -1.70088e-03
3.77012e-03 2.61096e-01 -1.86949e-03
3.77012e-03 2.96953e-01 -2.01930e-03
3.77012e-03 3.34963e-01 -2.14494e-03
3.77012e-03 3.75089e-01 -2.24205e-03
3.77012e-03 4.17290e-01 -2.30763e-03
3.77012e-03 4.61527e-01 -2.34018e-03
3.77012e-03 5.07755e-01 -2.33974e-03
3.77012e-03 5.55930e-01 -2.30777e-03
3.77012e-03 6.06005e-01 -2.24682e-03
3.77012e-03 6.57930e-01 -2.16028e-03
3.77012e-03 7.11655e-01 -2.05202e-03
3.77012e-03 7.67127e-01 -1.92608e-03
3.77012e-03 8.24292e-01 -1.78646e-03
3.77012e-03 8.83095e-01 -1.63694e-03
3.77012e-03 9.43478e-01 -1.48094e-03
3.77012e-03 1.00538e+00 -1.32154e-03
3.77012e-03 1.06875e+00 -1.16141e-03
3.77012e-03 1.13351e+00 -1.00285e-03
3.77012e-03 1.19960e+00 -8.47806e-04
3.77012e-03 1.26697e+00 -6.97902e-04
3.77012e-03 1.33555e+00 -5.54471e-04
3.77012e-03 1.40526e+00 -4.18566e-04
3.77012e-03 1.47604e+00 -2.90974e-04
3.77012e-03 1.54782e+00 -1.72214e-04
3.77012e-03 1.62053e+00 -6.25295e-05
3.77012e-03 1.69410e+00 3.81141e-05
3.77012e-03 1.76846e+00 1.30033e-04
3.77012e-03 1.84353e+00 2.13811e-04
3.77012e-03 1.91924e+00 2.90250e-04
3.77012e-03 1.99553e+00 3.60286e-04
3.77012e-03 2.07230e+00 4.24847e-04
3.77012e-03 2.14949e+00 4.84640e-04
3.77012e-03 2.22703e+00 5.39905e-04
3.77012e-03 2.30483e+00 5.90131e-04
3.77012e-03 2.38282e+00 6.33846e-04
3.77012e-03 2.46093e+00 6.68560e-04
3.77012e-03 2.53907e+00 6.90989e-04
3.77012e-03 2.61718e+00 6.97649e-04
3.77012e-03 2.69517e+00 6.85770e-04
3.77012e-03 2.77297e+00 6.54323e-04
3.77012e-03 2.85051e+00 6.04782e-04
3.77012e-03 2.92770e+00 5.41204e-04
3.77012e-03 3.00447e+00 4.69466e-04
3.77012e-03 3.08076e+00 3.95882e-04
3.77012e-03 3.15647e+00 3.25797e-04
3.77012e-03 3.23154e+00 2.62735e-04
3.77012e-03 3.30590e+00 2.08329e-04
3.77012e-03 3.37947e+00 1.62781e-04
3.77012e-03 3.45218e+00 1.25482e-04
3.77012e-03 3.52396e+00 9.54711e-05
3.77012e-03 3.59474e+00 7.17029e-05
3.77012e-03 3.66445e+00 5.31634e-05
3.77012e-03 3.73303e+00 3.89204e-05
3.77012e-03 3.80040e+00 2.81433e-05
3.77012e-03 3.86649e+00 2.01105e-05
3.77012e-03 3.93125e+00 1.42104e-05
3.77012e-03 3.99462e+00 9.93768e-06
3.77012e-03 4.05652e+00 6.88439e-06
3.77012e-03 4.11690e+00 4.72945e-06
3.77012e-03 4.17571e+00 3.22575e-06
3.77012e-03 4.23287e+00 2.18713e-06
